crop_id,filename,cluster_id,origem
20220417_141317_planta_0,20220417_141317_planta_0.jpg,103,0
20220417_141317_planta_2,20220417_141317_planta_2.jpg,23,0
20220417_141331_planta_0,20220417_141331_planta_0.jpg,103,0
20220417_141331_planta_1,20220417_141331_planta_1.jpg,103,0
20220417_141331_planta_2,20220417_141331_planta_2.jpg,103,0
20220417_141331_planta_3,20220417_141331_planta_3.jpg,103,0
20220417_141334_planta_0,20220417_141334_planta_0.jpg,103,0
20220417_141334_planta_2,20220417_141334_planta_2.jpg,103,0
20220417_141334_planta_3,20220417_141334_planta_3.jpg,103,0
20220417_141441_planta_0,20220417_141441_planta_0.jpg,118,0
20220417_141441_planta_2,20220417_141441_planta_2.jpg,307,2
20220417_141441_planta_3,20220417_141441_planta_3.jpg,230,1
20220417_141441_planta_4,20220417_141441_planta_4.jpg,94,0
20220417_141452_planta_1,20220417_141452_planta_1.jpg,-1,-1
20220417_141459_planta_0,20220417_141459_planta_0.jpg,269,1
20220417_141459_planta_1,20220417_141459_planta_1.jpg,66,0
20220417_141459_planta_2,20220417_141459_planta_2.jpg,66,0
20220417_141542_planta_0,20220417_141542_planta_0.jpg,176,0
20220417_141610_planta_0,20220417_141610_planta_0.jpg,44,0
20220417_141610_planta_1,20220417_141610_planta_1.jpg,85,0
20220417_141610_planta_10,20220417_141610_planta_10.jpg,233,1
20220417_141610_planta_11,20220417_141610_planta_11.jpg,85,0
20220417_141610_planta_12,20220417_141610_planta_12.jpg,258,1
20220417_141610_planta_13,20220417_141610_planta_13.jpg,44,0
20220417_141610_planta_14,20220417_141610_planta_14.jpg,32,0
20220417_141610_planta_15,20220417_141610_planta_15.jpg,95,0
20220417_141610_planta_16,20220417_141610_planta_16.jpg,298,2
20220417_141610_planta_2,20220417_141610_planta_2.jpg,125,0
20220417_141610_planta_3,20220417_141610_planta_3.jpg,65,0
20220417_141610_planta_4,20220417_141610_planta_4.jpg,69,0
20220417_141610_planta_6,20220417_141610_planta_6.jpg,85,0
20220417_141610_planta_7,20220417_141610_planta_7.jpg,92,0
20220417_141610_planta_8,20220417_141610_planta_8.jpg,85,0
20220417_141610_planta_9,20220417_141610_planta_9.jpg,109,0
20220417_141619_planta_0,20220417_141619_planta_0.jpg,276,1
20220417_141619_planta_1,20220417_141619_planta_1.jpg,109,0
20220417_141619_planta_2,20220417_141619_planta_2.jpg,85,0
20220417_141619_planta_3,20220417_141619_planta_3.jpg,320,3
20220417_141619_planta_4,20220417_141619_planta_4.jpg,233,1
20220417_141619_planta_5,20220417_141619_planta_5.jpg,12,0
20220417_141619_planta_6,20220417_141619_planta_6.jpg,85,0
20220417_141751_planta_1,20220417_141751_planta_1.jpg,28,0
20220417_141751_planta_10,20220417_141751_planta_10.jpg,320,3
20220417_141751_planta_12,20220417_141751_planta_12.jpg,28,0
20220417_141751_planta_13,20220417_141751_planta_13.jpg,314,3
20220417_141751_planta_14,20220417_141751_planta_14.jpg,32,0
20220417_141751_planta_15,20220417_141751_planta_15.jpg,66,0
20220417_141751_planta_2,20220417_141751_planta_2.jpg,168,0
20220417_141751_planta_3,20220417_141751_planta_3.jpg,181,0
20220417_141751_planta_4,20220417_141751_planta_4.jpg,288,1
20220417_141837_planta_0,20220417_141837_planta_0.jpg,264,1
20220417_141837_planta_1,20220417_141837_planta_1.jpg,32,0
20220417_141837_planta_3,20220417_141837_planta_3.jpg,28,0
20220417_141837_planta_4,20220417_141837_planta_4.jpg,98,0
20220417_141837_planta_5,20220417_141837_planta_5.jpg,66,0
20220417_141837_planta_6,20220417_141837_planta_6.jpg,276,1
20220417_141903_planta_1,20220417_141903_planta_1.jpg,188,0
20220417_141903_planta_4,20220417_141903_planta_4.jpg,233,1
20220417_141903_planta_7,20220417_141903_planta_7.jpg,116,0
20220417_141912_planta_0,20220417_141912_planta_0.jpg,103,0
20220417_152120_planta_0,20220417_152120_planta_0.jpg,185,0
20220417_152120_planta_1,20220417_152120_planta_1.jpg,312,2
20220417_152120_planta_2,20220417_152120_planta_2.jpg,52,0
20220417_152124_planta_0,20220417_152124_planta_0.jpg,196,0
20220417_152126_planta_1,20220417_152126_planta_1.jpg,196,0
20220417_152130_planta_1,20220417_152130_planta_1.jpg,312,2
20220417_152137_planta_0,20220417_152137_planta_0.jpg,196,0
20220417_152144_planta_1,20220417_152144_planta_1.jpg,104,0
20220417_152204_planta_0,20220417_152204_planta_0.jpg,271,1
20220417_152204_planta_1,20220417_152204_planta_1.jpg,179,0
20220417_152204_planta_2,20220417_152204_planta_2.jpg,211,0
20220417_152217_planta_1,20220417_152217_planta_1.jpg,284,1
20220417_152227_planta_2,20220417_152227_planta_2.jpg,196,0
20220417_152241_planta_1,20220417_152241_planta_1.jpg,185,0
20220417_152241_planta_2,20220417_152241_planta_2.jpg,208,0
20220417_152241_planta_3,20220417_152241_planta_3.jpg,215,0
20220417_152241_planta_4,20220417_152241_planta_4.jpg,189,0
20220417_152259_planta_1,20220417_152259_planta_1.jpg,284,1
20220417_152259_planta_2,20220417_152259_planta_2.jpg,215,0
20220417_152259_planta_3,20220417_152259_planta_3.jpg,112,0
20220417_152259_planta_4,20220417_152259_planta_4.jpg,275,1
20220417_152259_planta_5,20220417_152259_planta_5.jpg,292,2
20220417_152315_planta_0,20220417_152315_planta_0.jpg,215,0
20220417_152315_planta_1,20220417_152315_planta_1.jpg,295,2
20220417_152315_planta_10,20220417_152315_planta_10.jpg,112,0
20220417_152315_planta_11,20220417_152315_planta_11.jpg,208,0
20220417_152315_planta_4,20220417_152315_planta_4.jpg,311,2
20220417_152315_planta_5,20220417_152315_planta_5.jpg,297,2
20220417_152315_planta_9,20220417_152315_planta_9.jpg,317,3
20220417_152330_planta_3,20220417_152330_planta_3.jpg,318,3
20220417_152334_planta_0,20220417_152334_planta_0.jpg,214,0
20220417_152334_planta_3,20220417_152334_planta_3.jpg,215,0
20220417_152334_planta_4,20220417_152334_planta_4.jpg,211,0
20220417_152334_planta_5,20220417_152334_planta_5.jpg,112,0
20220417_152352_planta_0,20220417_152352_planta_0.jpg,282,1
20220417_152352_planta_1,20220417_152352_planta_1.jpg,196,0
20220417_152352_planta_4,20220417_152352_planta_4.jpg,112,0
20220417_152352_planta_5,20220417_152352_planta_5.jpg,196,0
20220417_152402_planta_1,20220417_152402_planta_1.jpg,280,1
20220417_152434_planta_1,20220417_152434_planta_1.jpg,68,0
20220417_152434_planta_10,20220417_152434_planta_10.jpg,215,0
20220417_152434_planta_4,20220417_152434_planta_4.jpg,215,0
20220417_152434_planta_5,20220417_152434_planta_5.jpg,317,3
20220417_152434_planta_6,20220417_152434_planta_6.jpg,68,0
20220417_152434_planta_7,20220417_152434_planta_7.jpg,215,0
20220417_152434_planta_8,20220417_152434_planta_8.jpg,215,0
20220417_152434_planta_9,20220417_152434_planta_9.jpg,306,2
20220417_152445_planta_0,20220417_152445_planta_0.jpg,196,0
20220417_152530_planta_0,20220417_152530_planta_0.jpg,203,0
20220417_152530_planta_1,20220417_152530_planta_1.jpg,204,0
20220417_152530_planta_10,20220417_152530_planta_10.jpg,280,1
20220417_152530_planta_11,20220417_152530_planta_11.jpg,204,0
20220417_152530_planta_12,20220417_152530_planta_12.jpg,311,2
20220417_152530_planta_13,20220417_152530_planta_13.jpg,295,2
20220417_152530_planta_14,20220417_152530_planta_14.jpg,203,0
20220417_152530_planta_15,20220417_152530_planta_15.jpg,14,0
20220417_152530_planta_16,20220417_152530_planta_16.jpg,15,0
20220417_152530_planta_2,20220417_152530_planta_2.jpg,203,0
20220417_152530_planta_3,20220417_152530_planta_3.jpg,14,0
20220417_152530_planta_4,20220417_152530_planta_4.jpg,203,0
20220417_152530_planta_5,20220417_152530_planta_5.jpg,288,1
20220417_152530_planta_6,20220417_152530_planta_6.jpg,203,0
20220417_152530_planta_7,20220417_152530_planta_7.jpg,203,0
20220417_152530_planta_9,20220417_152530_planta_9.jpg,203,0
20220417_152540_planta_10,20220417_152540_planta_10.jpg,204,0
20220417_152540_planta_2,20220417_152540_planta_2.jpg,196,0
20220417_152540_planta_3,20220417_152540_planta_3.jpg,26,0
20220417_152540_planta_4,20220417_152540_planta_4.jpg,280,1
20220417_152540_planta_5,20220417_152540_planta_5.jpg,288,1
20220417_152540_planta_6,20220417_152540_planta_6.jpg,198,0
20220417_152540_planta_7,20220417_152540_planta_7.jpg,111,0
20220417_152558_planta_0,20220417_152558_planta_0.jpg,318,3
